time,low,high,open,volume,close
2018-03-02 09:30:00,24217.759765625,24592.4609375,24394.91015625,437130000,24538.060546875
2018-03-01 09:30:00,24442.560546875,25185.349609375,25024.0390625,506280000,24608.98046875
2018-02-28 09:30:00,25022.419921875,25576.150390625,25485.150390625,451870000,25029.19921875
2018-02-27 09:30:00,25407.830078125,25800.349609375,25735.779296875,438390000,25410.029296875
2018-02-26 09:30:00,25398.560546875,25732.80078125,25403.349609375,473360000,25709.26953125
2018-02-23 09:30:00,25028.73046875,25313.91015625,25050.509765625,335420000,25309.990234375
2018-02-22 09:30:00,24854.830078125,25156.720703125,24855.41015625,378900000,24962.48046875
2018-02-21 09:30:00,24792.990234375,25267.990234375,24988.060546875,456070000,24797.779296875
2018-02-20 09:30:00,24884.189453125,25179.009765625,25124.91015625,421510000,24964.75
2018-02-16 09:30:00,25149.259765625,25432.419921875,25165.939453125,406730000,25219.380859375
2018-02-15 09:30:00,24809.419921875,25203.94921875,25047.8203125,416780000,25200.369140625
2018-02-14 09:30:00,24490.359375,24925.94921875,24535.8203125,431160000,24893.490234375
2018-02-13 09:30:00,24421.029296875,24705.720703125,24540.330078125,374410000,24640.44921875
2018-02-12 09:30:00,24290.48046875,24765.16015625,24337.759765625,496610000,24601.26953125
2018-02-09 09:30:00,23360.2890625,24382.140625,23992.669921875,735030000,24190.900390625
2018-02-08 09:30:00,23849.23046875,24903.6796875,24902.30078125,657500000,23860.4609375
2018-02-07 09:30:00,24785.439453125,25293.9609375,24892.869140625,504620000,24893.349609375
2018-02-06 09:30:00,23778.740234375,24946.23046875,24085.169921875,823940000,24912.76953125
2018-02-05 09:30:00,23923.880859375,25520.529296875,25337.869140625,714450000,24345.75
2018-02-02 09:30:00,25490.66015625,26061.7890625,26061.7890625,522880000,25520.9609375
2018-02-01 09:30:00,26014.439453125,26306.69921875,26083.0390625,410620000,26186.7109375
2018-01-31 09:30:00,26050.98046875,26338.029296875,26268.169921875,479130000,26149.390625
2018-01-30 09:30:00,26028.419921875,26256.990234375,26198.44921875,448330000,26076.890625
2018-01-29 09:30:00,26435.33984375,26608.900390625,26584.279296875,421000000,26439.48046875
2018-01-26 09:30:00,26425.349609375,26616.7109375,26466.740234375,477780000,26616.7109375
2018-01-25 09:30:00,26259.720703125,26458.25,26313.060546875,401390000,26392.7890625
2018-01-24 09:30:00,26106.939453125,26392.80078125,26282.0703125,518790000,26252.119140625
2018-01-23 09:30:00,26143.900390625,26246.189453125,26214.869140625,433490000,26210.810546875
2018-01-22 09:30:00,25974.650390625,26215.23046875,26025.3203125,431200000,26214.599609375
2018-01-19 09:30:00,25942.830078125,26071.720703125,25987.349609375,585000000,26071.720703125
2018-01-18 09:30:00,25947.3203125,26153.419921875,26149.55078125,492780000,26017.810546875
2018-01-17 09:30:00,25865.01953125,26130.44921875,25910.779296875,522720000,26115.650390625
2018-01-16 09:30:00,25702.990234375,26086.119140625,25987.619140625,606520000,25792.859375
2018-01-12 09:30:00,25633.080078125,25810.4296875,25638.390625,376390000,25803.189453125
2018-01-11 09:30:00,25396.189453125,25575.419921875,25398.599609375,346830000,25574.73046875
2018-01-10 09:30:00,25256.990234375,25404.919921875,25348.130859375,341470000,25369.130859375
2018-01-09 09:30:00,25308.41015625,25439.779296875,25312.05078125,333490000,25385.80078125
2018-01-08 09:30:00,25235.41015625,25311.990234375,25308.400390625,341390000,25283.0
2018-01-05 09:30:00,25112.009765625,25299.7890625,25114.919921875,358020000,25295.869140625
2018-01-04 09:30:00,24963.26953125,25105.9609375,24964.859375,403280000,25075.130859375
2018-01-03 09:30:00,24825.55078125,24941.919921875,24850.44921875,456790000,24922.6796875
2018-01-02 09:30:00,24741.69921875,24864.189453125,24809.349609375,341130000,24824.009765625
2017-12-29 09:30:00,24719.220703125,24871.66015625,24849.630859375,270760000,24719.220703125
2017-12-28 09:30:00,24797.130859375,24839.23046875,24807.2109375,200960000,24837.509765625
2017-12-27 09:30:00,24731.6796875,24789.51953125,24766.51953125,225890000,24774.30078125
2017-12-26 09:30:00,24708.419921875,24778.130859375,24715.83984375,208290000,24746.2109375
2017-12-22 09:30:00,24717.509765625,24784.150390625,24764.0390625,255140000,24754.060546875
2017-12-21 09:30:00,24766.26953125,24850.91015625,24778.259765625,339530000,24782.2890625
2017-12-20 09:30:00,24697.109375,24852.439453125,24838.08984375,341790000,24726.650390625
2017-12-19 09:30:00,24715.599609375,24850.109375,24834.380859375,335330000,24754.75
2017-12-18 09:30:00,24739.560546875,24876.0703125,24739.560546875,354880000,24792.19921875
2017-12-15 09:30:00,24584.439453125,24688.619140625,24585.7109375,635740000,24651.740234375
2017-12-14 09:30:00,24508.66015625,24672.48046875,24631.009765625,314780000,24508.66015625
2017-12-13 09:30:00,24518.30078125,24666.01953125,24525.189453125,325280000,24585.4296875
2017-12-12 09:30:00,24443.830078125,24552.970703125,24452.9609375,342220000,24504.80078125
2017-12-11 09:30:00,24314.740234375,24389.720703125,24338.109375,300580000,24386.029296875
2017-12-08 09:30:00,24225.5,24330.119140625,24263.259765625,293590000,24329.16015625
2017-12-07 09:30:00,24101.240234375,24262.880859375,24116.599609375,319060000,24211.48046875
2017-12-06 09:30:00,24134.490234375,24229.349609375,24171.900390625,312720000,24140.91015625
2017-12-05 09:30:00,24155.279296875,24349.740234375,24335.009765625,371190000,24180.640625
2017-12-04 09:30:00,24288.189453125,24534.0390625,24424.109375,424250000,24290.05078125
2017-12-01 09:30:00,23921.900390625,24322.060546875,24305.400390625,417910000,24231.58984375
2017-11-30 09:30:00,24013.80078125,24327.8203125,24013.80078125,488200000,24272.349609375
2017-11-29 09:30:00,23872.58984375,23959.759765625,23883.259765625,401410000,23940.6796875
2017-11-28 09:30:00,23617.109375,23849.609375,23625.189453125,319240000,23836.7109375
2017-11-27 09:30:00,23545.01953125,23638.919921875,23552.859375,296320000,23580.779296875
2017-11-24 09:30:00,23551.58984375,23599.1796875,23552.75,118610000,23557.990234375
2017-11-22 09:30:00,23507.609375,23605.76953125,23597.240234375,268760000,23526.1796875
2017-11-21 09:30:00,23500.150390625,23617.80078125,23500.150390625,329650000,23590.830078125
2017-11-20 09:30:00,23360.580078125,23456.880859375,23370.7109375,315330000,23430.330078125
2017-11-17 09:30:00,23356.009765625,23433.76953125,23433.76953125,386000000,23358.240234375
2017-11-16 09:30:00,23365.33984375,23492.189453125,23365.33984375,402020000,23458.359375
