time,low,volume,high,open,close
2018-04-18 18:22:20,132.22999572753906,67411416,141.67999267578125,132.33999633789062,141.36000061035156
2018-04-16 19:00:00,128.80999755859375,114879247,140.41000366210938,128.83999633789062,132.33999633789062
2018-04-15 19:00:00,125.27999877929688,60722721,133.38999938964844,132.7100067138672,128.83999633789062
2018-04-14 19:00:00,126.52999877929688,54928885,132.9199981689453,126.55000305175781,132.6999969482422
2018-04-13 19:00:00,124.43000030517578,45425829,129.75999450683594,125.56999969482422,126.52999877929688
2018-04-12 19:00:00,124.06999969482422,133115960,133.6699981689453,129.7100067138672,125.56999969482422
2018-04-11 19:00:00,113.2699966430664,175105506,130.91000366210938,118.31999969482422,129.7100067138672
2018-04-10 19:00:00,113.30000305175781,44183675,119.93000030517578,114.41000366210938,118.4000015258789
2018-04-09 19:00:00,111.79000091552734,42165656,115.45999908447266,115.0199966430664,114.41000366210938
2018-04-08 19:00:00,112.94999694824219,72718908,123.20999908447266,117.87999725341797,115.0199966430664
2018-04-07 19:00:00,115.58000183105469,35572589,118.6500015258789,116.19999694824219,117.87000274658203
2018-04-06 19:00:00,112.97000122070312,48395805,119.8499984741211,113.19000244140625,116.19999694824219
2018-04-05 19:00:00,112.12000274658203,51417781,120.47000122070312,118.76000213623047,113.18000030517578
2018-04-04 19:00:00,113.88999938964844,74831516,122.69000244140625,118.36000061035156,118.76000213623047
2018-04-03 19:00:00,115.58000183105469,111839267,134.92999267578125,134.22999572753906,118.36000061035156
2018-04-02 19:00:00,118.47000122070312,94696369,137.39999389648438,119.26000213623047,134.22999572753906
2018-04-01 19:00:00,114.41000366210938,55199053,121.72000122070312,115.11000061035156,119.26000213623047
2018-03-31 19:00:00,110.02999877929688,61953932,118.37000274658203,116.31999969482422,115.11000061035156
2018-03-30 19:00:00,115.68000030517578,69205423,125.20999908447266,118.48999786376953,116.31999969482422
2018-03-29 19:00:00,109.61000061035156,142506855,126.56999969482422,114.66000366210938,118.48999786376953
2018-03-28 19:00:00,112.6500015258789,159535092,132.52000427246094,131.66000366210938,114.66000366210938
2018-03-27 19:00:00,130.24000549316406,73816273,139.7899932861328,134.86000061035156,131.66000366210938
2018-03-26 19:00:00,134.75,100360248,149.3300018310547,148.27999877929688,134.8800048828125
2018-03-25 19:00:00,142.08999633789062,113770581,160.9600067138672,160.30999755859375,148.27999877929688
