time,high,open,volume,low,close
2018-04-18 14:45:52,125.55999755859375,125.5,2576830,124.98999786376953,125.02999877929688
2018-04-17 09:30:00,125.9000015258789,125.69999694824219,2772500,125.44999694824219,125.44999694824219
2018-04-16 09:30:00,125.75,125.4000015258789,3813100,125.23999786376953,125.69999694824219
2018-04-13 09:30:00,125.61000061035156,125.4000015258789,3108600,125.26000213623047,125.4000015258789
2018-04-12 09:30:00,125.75,125.19999694824219,5129900,125.12999725341797,125.30999755859375
2018-04-11 09:30:00,125.66000366210938,125.55999755859375,8462900,124.93000030517578,125.19999694824219
2018-04-10 09:30:00,126.0,124.98999786376953,11836300,124.2300033569336,125.01000213623047
2018-04-09 09:30:00,126.80000305175781,118.0,16260300,117.41000366210938,125.1500015258789
2018-04-06 09:30:00,118.86000061035156,117.75,2424800,117.38999938964844,117.86000061035156
2018-04-05 09:30:00,118.12000274658203,116.5999984741211,3299000,116.36000061035156,118.05000305175781
2018-04-04 09:30:00,116.9800033569336,116.5999984741211,2124900,116.16999816894531,116.75
2018-04-03 09:30:00,117.26000213623047,116.8499984741211,14408400,116.23999786376953,117.0
2018-04-02 09:30:00,117.5199966430664,116.86000061035156,2222600,116.18000030517578,116.5999984741211
2018-03-29 09:30:00,117.87000274658203,117.11000061035156,2586800,116.0,116.69000244140625
2018-03-28 09:30:00,117.98999786376953,117.79000091552734,1991500,116.75,116.75
2018-03-27 09:30:00,118.45999908447266,117.76000213623047,2002300,117.04000091552734,117.58000183105469
2018-03-26 09:30:00,117.86000061035156,117.86000061035156,1833200,116.9000015258789,117.69000244140625
2018-03-23 09:30:00,118.22000122070312,117.80000305175781,2073800,116.98999786376953,117.1500015258789
2018-03-22 09:30:00,119.0,118.75,2662100,117.36000061035156,117.52999877929688
2018-03-21 09:30:00,119.55999755859375,118.68000030517578,5480700,118.37999725341797,119.0199966430664
2018-03-20 09:30:00,119.08999633789062,117.87000274658203,2245500,117.44999694824219,118.36000061035156
