time,high,close,low,volume,open
2018-03-19 13:04:32,11.739999771118164,11.399999618530273,11.369999885559082,37668705,11.40999984741211
2018-03-16 09:30:00,11.550000190734863,11.470000267028809,11.319999694824219,36931800,11.489999771118164
2018-03-15 09:30:00,11.550000190734863,11.460000038146973,11.1899995803833,66373900,11.430000305175781
2018-03-14 09:30:00,11.720000267028809,11.359999656677246,11.260000228881836,80540800,11.699999809265137
2018-03-13 09:30:00,12.039999961853027,11.640000343322754,11.100000381469727,174302600,11.5
2018-03-12 09:30:00,11.819999694824219,11.520000457763672,11.479999542236328,83748700,11.760000228881836
2018-03-09 09:30:00,12.039999961853027,11.699999809265137,11.579999923706055,89674400,12.029999732971191
2018-03-08 09:30:00,12.59000015258789,11.970000267028809,11.739999771118164,76011200,12.399999618530273
2018-03-07 09:30:00,12.819999694824219,12.239999771118164,11.550000190734863,127603200,11.579999923706055
2018-03-06 09:30:00,12.050000190734863,11.760000228881836,11.710000038146973,46751200,12.010000228881836
2018-03-05 09:30:00,12.0600004196167,11.90999984741211,11.609999656677246,43734800,11.6899995803833
2018-03-02 09:30:00,11.930000305175781,11.8100004196167,11.430000305175781,58123500,11.670000076293945
2018-03-01 09:30:00,12.270000457763672,11.899999618530273,11.65999984741211,63207400,12.260000228881836
2018-02-28 09:30:00,12.729999542236328,12.109999656677246,12.100000381469727,43387500,12.65999984741211
2018-02-27 09:30:00,12.880000114440918,12.529999732971191,12.390000343322754,55975300,12.430000305175781
2018-02-26 09:30:00,12.430000305175781,12.420000076293945,12.050000190734863,42265200,12.140000343322754
2018-02-23 09:30:00,12.15999984741211,12.069999694824219,11.9399995803833,33317600,11.949999809265137
2018-02-22 09:30:00,12.0,11.84000015258789,11.630000114440918,37886300,11.819999694824219
2018-02-21 09:30:00,12.119999885559082,11.720000267028809,11.720000267028809,40195800,12.119999885559082
2018-02-20 09:30:00,12.1899995803833,12.020000457763672,11.710000038146973,47096500,11.720000267028809
2018-02-16 09:30:00,12.229999542236328,11.819999694824219,11.819999694824219,47332300,12.109999656677246
2018-02-15 09:30:00,12.630000114440918,12.1899995803833,12.069999694824219,59593800,12.399999618530273
2018-02-14 09:30:00,12.3100004196167,12.199999809265137,11.630000114440918,51756800,11.720000267028809
2018-02-13 09:30:00,11.819999694824219,11.779999732971191,11.529999732971191,33661400,11.600000381469727
2018-02-12 09:30:00,11.800000190734863,11.680000305175781,11.430000305175781,63160900,11.470000267028809
2018-02-09 09:30:00,11.569999694824219,11.3100004196167,10.630000114440918,85458200,11.539999961853027
2018-02-08 09:30:00,11.850000381469727,11.220000267028809,11.210000038146973,56471800,11.720000267028809
2018-02-07 09:30:00,11.899999618530273,11.600000381469727,11.529999732971191,55758400,11.699999809265137
2018-02-06 09:30:00,11.739999771118164,11.649999618530273,11.0,87123200,11.039999961853027
2018-02-05 09:30:00,12.180000305175781,11.569999694824219,10.930000305175781,116568900,12.050000190734863
2018-02-02 09:30:00,13.0600004196167,12.449999809265137,12.430000305175781,79432600,13.050000190734863
