time,close,volume,low,high,open
2018-03-05 16:00:01,1090.9300537109375,1014216,1069.0001220703125,1097.0999755859375,1075.1400146484375
2018-03-02 09:30:00,1078.9200439453125,2219000,1048.114990234375,1081.9990234375,1053.0799560546875
2018-03-01 09:30:00,1069.52001953125,2515900,1067.0009765625,1110.1199951171875,1107.8699951171875
2018-02-28 09:30:00,1104.72998046875,1882600,1103.239990234375,1127.530029296875,1123.030029296875
2018-02-27 09:30:00,1118.2900390625,1774100,1118.0,1144.0400390625,1141.239990234375
2018-02-26 09:30:00,1143.75,1559100,1126.6949462890625,1143.9599609375,1127.800048828125
2018-02-23 09:30:00,1126.7900390625,1261000,1104.7139892578125,1127.280029296875,1112.6400146484375
2018-02-22 09:30:00,1106.6300048828125,1317200,1102.5899658203125,1122.8199462890625,1116.18994140625
2018-02-21 09:30:00,1111.3399658203125,1512900,1106.3299560546875,1133.969970703125,1106.469970703125
2018-02-20 09:30:00,1102.4599609375,1423100,1088.52001953125,1113.949951171875,1090.5699462890625
2018-02-16 09:30:00,1094.800048828125,1681600,1088.31298828125,1104.6700439453125,1088.4100341796875
2018-02-15 09:30:00,1089.52001953125,1843400,1064.3399658203125,1091.47900390625,1079.0699462890625
2018-02-14 09:30:00,1069.699951171875,1555800,1046.75,1071.719970703125,1048.949951171875
2018-02-13 09:30:00,1052.0999755859375,1265100,1044.0870361328125,1058.3699951171875,1045.0
2018-02-12 09:30:00,1051.93994140625,2057700,1040.927978515625,1061.5,1048.0
2018-02-09 09:30:00,1037.780029296875,3505900,992.5599975585938,1043.969970703125,1017.25
2018-02-08 09:30:00,1001.52001953125,2859100,1000.6599731445312,1058.6199951171875,1055.4100341796875
2018-02-07 09:30:00,1048.5799560546875,2369200,1048.260009765625,1081.780029296875,1081.5400390625
2018-02-06 09:30:00,1080.5999755859375,3448000,1023.1370239257812,1081.7099609375,1027.1800537109375
2018-02-05 09:30:00,1055.800048828125,3798300,1052.030029296875,1110.0,1090.5999755859375
2018-02-02 09:30:00,1111.9000244140625,4857900,1107.2779541015625,1123.0699462890625,1122.0
2018-02-01 09:30:00,1167.699951171875,2412100,1157.52001953125,1174.0,1162.6099853515625
2018-01-31 09:30:00,1169.93994140625,1538700,1159.1300048828125,1173.0,1170.5699462890625
2018-01-30 09:30:00,1163.68994140625,1556300,1163.52001953125,1176.52001953125,1167.8299560546875
2018-01-29 09:30:00,1175.5799560546875,1378900,1171.97998046875,1186.8900146484375,1176.47998046875
2018-01-26 09:30:00,1175.8399658203125,2018800,1158.1099853515625,1175.8399658203125,1175.0799560546875
2018-01-25 09:30:00,1170.3699951171875,1480500,1162.760009765625,1175.93994140625,1172.530029296875
2018-01-24 09:30:00,1164.239990234375,1416600,1161.050048828125,1179.8599853515625,1177.3299560546875
2018-01-23 09:30:00,1169.969970703125,1333100,1158.75,1171.626953125,1159.8499755859375
2018-01-22 09:30:00,1155.81005859375,1618000,1135.1099853515625,1159.8800048828125,1137.489990234375
2018-01-19 09:30:00,1137.510009765625,1778200,1128.300048828125,1137.8599853515625,1131.8299560546875
2018-01-18 09:30:00,1129.7900390625,1198200,1117.5,1132.510009765625,1131.4100341796875
2018-01-17 09:30:00,1131.97998046875,1202600,1117.010009765625,1132.5999755859375,1126.219970703125
2018-01-16 09:30:00,1121.760009765625,1575300,1117.83203125,1139.9100341796875,1132.510009765625
2018-01-12 09:30:00,1122.260009765625,1720500,1101.1500244140625,1124.2900390625,1102.4100341796875
2018-01-11 09:30:00,1105.52001953125,978300,1099.5899658203125,1106.5250244140625,1106.300048828125
2018-01-10 09:30:00,1102.6099853515625,1042800,1096.1099853515625,1104.5999755859375,1097.0999755859375
2018-01-09 09:30:00,1106.260009765625,902500,1101.23095703125,1110.5699462890625,1109.4000244140625
2018-01-08 09:30:00,1106.93994140625,1047600,1101.6199951171875,1111.27001953125,1102.22998046875
