time,volume,high,open,low,close
2018-03-19 13:19:01,168703371,24893.6894531,24893.6894531,24472.25,24533.3496094
2018-03-16 09:30:00,654240000,25031.0,24877.3398438,24857.0898438,24946.5097656
2018-03-15 09:30:00,316310000,25053.8691406,24837.2890625,24753.2890625,24873.6601562
2018-03-14 09:30:00,356830000,25130.1191406,25086.9707031,24668.8300781,24758.1191406
2018-03-13 09:30:00,447880000,25376.4003906,25257.75,24947.5,25007.0292969
2018-03-12 09:30:00,362580000,25449.1503906,25372.4394531,25152.0195312,25178.609375
2018-03-09 09:30:00,371570000,25336.3300781,25004.890625,25004.890625,25335.7402344
2018-03-08 09:30:00,327300000,24950.4902344,24853.4101562,24703.0507812,24895.2109375
2018-03-07 09:30:00,394070000,24849.6796875,24758.1503906,24535.1191406,24801.359375
2018-03-06 09:30:00,331770000,24995.2402344,24965.890625,24708.4101562,24884.1191406
2018-03-05 09:30:00,383910000,24961.0,24471.3105469,24387.1503906,24874.7597656
2018-03-02 09:30:00,437130000,24592.4609375,24394.9101562,24217.7597656,24538.0605469
2018-03-01 09:30:00,506280000,25185.3496094,25024.0390625,24442.5605469,24608.9804688
2018-02-28 09:30:00,451870000,25576.1503906,25485.1503906,25022.4199219,25029.1992188
2018-02-27 09:30:00,438390000,25800.3496094,25735.7792969,25407.8300781,25410.0292969
2018-02-26 09:30:00,473360000,25732.8007812,25403.3496094,25398.5605469,25709.2695312
2018-02-23 09:30:00,335420000,25313.9101562,25050.5097656,25028.7304688,25309.9902344
2018-02-22 09:30:00,378900000,25156.7207031,24855.4101562,24854.8300781,24962.4804688
2018-02-21 09:30:00,456070000,25267.9902344,24988.0605469,24792.9902344,24797.7792969
2018-02-20 09:30:00,421510000,25179.0097656,25124.9101562,24884.1894531,24964.75
2018-02-16 09:30:00,406730000,25432.4199219,25165.9394531,25149.2597656,25219.3808594
2018-02-15 09:30:00,416780000,25203.9492188,25047.8203125,24809.4199219,25200.3691406
2018-02-14 09:30:00,431160000,24925.9492188,24535.8203125,24490.359375,24893.4902344
2018-02-13 09:30:00,374410000,24705.7207031,24540.3300781,24421.0292969,24640.4492188
2018-02-12 09:30:00,496610000,24765.1601562,24337.7597656,24290.4804688,24601.2695312
2018-02-09 09:30:00,735030000,24382.140625,23992.6699219,23360.2890625,24190.9003906
2018-02-08 09:30:00,657500000,24903.6796875,24902.3007812,23849.2304688,23860.4609375
2018-02-07 09:30:00,504620000,25293.9609375,24892.8691406,24785.4394531,24893.3496094
2018-02-06 09:30:00,823940000,24946.2304688,24085.1699219,23778.7402344,24912.7695312
2018-02-05 09:30:00,714450000,25520.5292969,25337.8691406,23923.8808594,24345.75
2018-02-02 09:30:00,522880000,26061.7890625,26061.7890625,25490.6601562,25520.9609375
2018-02-01 09:30:00,410620000,26306.6992188,26083.0390625,26014.4394531,26186.7109375
2018-01-31 09:30:00,479130000,26338.0292969,26268.1699219,26050.9804688,26149.390625
2018-01-30 09:30:00,448330000,26256.9902344,26198.4492188,26028.4199219,26076.890625
2018-01-29 09:30:00,421000000,26608.9003906,26584.2792969,26435.3398438,26439.4804688
2018-01-26 09:30:00,477780000,26616.7109375,26466.7402344,26425.3496094,26616.7109375
2018-01-25 09:30:00,401390000,26458.25,26313.0605469,26259.7207031,26392.7890625
2018-01-24 09:30:00,518790000,26392.8007812,26282.0703125,26106.9394531,26252.1191406
2018-01-23 09:30:00,433490000,26246.1894531,26214.8691406,26143.9003906,26210.8105469
2018-01-22 09:30:00,431200000,26215.2304688,26025.3203125,25974.6503906,26214.5996094
2018-01-19 09:30:00,585000000,26071.7207031,25987.3496094,25942.8300781,26071.7207031
2018-01-18 09:30:00,492780000,26153.4199219,26149.5507812,25947.3203125,26017.8105469
2018-01-17 09:30:00,522720000,26130.4492188,25910.7792969,25865.0195312,26115.6503906
2018-01-16 09:30:00,606520000,26086.1191406,25987.6191406,25702.9902344,25792.859375
2018-01-12 09:30:00,376390000,25810.4296875,25638.390625,25633.0800781,25803.1894531
2018-01-11 09:30:00,346830000,25575.4199219,25398.5996094,25396.1894531,25574.7304688
2018-01-10 09:30:00,341470000,25404.9199219,25348.1308594,25256.9902344,25369.1308594
2018-01-09 09:30:00,333490000,25439.7792969,25312.0507812,25308.4101562,25385.8007812
2018-01-08 09:30:00,341390000,25311.9902344,25308.4003906,25235.4101562,25283.0
2018-01-05 09:30:00,358020000,25299.7890625,25114.9199219,25112.0097656,25295.8691406
2018-01-04 09:30:00,403280000,25105.9609375,24964.859375,24963.2695312,25075.1308594
2018-01-03 09:30:00,456790000,24941.9199219,24850.4492188,24825.5507812,24922.6796875
2018-01-02 09:30:00,341130000,24864.1894531,24809.3496094,24741.6992188,24824.0097656
2017-12-29 09:30:00,270760000,24871.6601562,24849.6308594,24719.2207031,24719.2207031
2017-12-28 09:30:00,200960000,24839.2304688,24807.2109375,24797.1308594,24837.5097656
2017-12-27 09:30:00,225890000,24789.5195312,24766.5195312,24731.6796875,24774.3007812
2017-12-26 09:30:00,208290000,24778.1308594,24715.8398438,24708.4199219,24746.2109375
2017-12-22 09:30:00,255140000,24784.1503906,24764.0390625,24717.5097656,24754.0605469
2017-12-21 09:30:00,339530000,24850.9101562,24778.2597656,24766.2695312,24782.2890625
2017-12-20 09:30:00,341790000,24852.4394531,24838.0898438,24697.109375,24726.6503906
2017-12-19 09:30:00,335330000,24850.109375,24834.3808594,24715.5996094,24754.75
2017-12-18 09:30:00,354880000,24876.0703125,24739.5605469,24739.5605469,24792.1992188
2017-12-15 09:30:00,635740000,24688.6191406,24585.7109375,24584.4394531,24651.7402344
2017-12-14 09:30:00,314780000,24672.4804688,24631.0097656,24508.6601562,24508.6601562
2017-12-13 09:30:00,325280000,24666.0195312,24525.1894531,24518.3007812,24585.4296875
2017-12-12 09:30:00,342220000,24552.9707031,24452.9609375,24443.8300781,24504.8007812
2017-12-11 09:30:00,300580000,24389.7207031,24338.109375,24314.7402344,24386.0292969
2017-12-08 09:30:00,293590000,24330.1191406,24263.2597656,24225.5,24329.1601562
2017-12-07 09:30:00,319060000,24262.8808594,24116.5996094,24101.2402344,24211.4804688
2017-12-06 09:30:00,312720000,24229.3496094,24171.9003906,24134.4902344,24140.9101562
2017-12-05 09:30:00,371190000,24349.7402344,24335.0097656,24155.2792969,24180.640625
2017-12-04 09:30:00,424250000,24534.0390625,24424.109375,24288.1894531,24290.0507812
2017-12-01 09:30:00,417910000,24322.0605469,24305.4003906,23921.9003906,24231.5898438
2017-11-30 09:30:00,488200000,24327.8203125,24013.8007812,24013.8007812,24272.3496094
2017-11-29 09:30:00,401410000,23959.7597656,23883.2597656,23872.5898438,23940.6796875
2017-11-28 09:30:00,319240000,23849.609375,23625.1894531,23617.109375,23836.7109375
2017-11-27 09:30:00,296320000,23638.9199219,23552.859375,23545.0195312,23580.7792969
2017-11-24 09:30:00,118610000,23599.1796875,23552.75,23551.5898438,23557.9902344
2017-11-22 09:30:00,268760000,23605.7695312,23597.2402344,23507.609375,23526.1796875
2017-11-21 09:30:00,329650000,23617.8007812,23500.1503906,23500.1503906,23590.8300781
2017-11-20 09:30:00,315330000,23456.8808594,23370.7109375,23360.5800781,23430.3300781
2017-11-17 09:30:00,386000000,23433.7695312,23433.7695312,23356.0097656,23358.2402344
2017-11-16 09:30:00,402020000,23492.1894531,23365.3398438,23365.3398438,23458.359375
2017-11-15 09:30:00,404300000,23344.9902344,23334.5898438,23242.75,23271.2792969
2017-11-14 09:30:00,561330000,23414.0800781,23388.4003906,23271.5703125,23409.4707031
2017-11-13 09:30:00,491260000,23461.6796875,23367.4707031,23343.3398438,23439.6992188
2017-11-10 09:30:00,351280000,23452.1992188,23432.7109375,23392.9609375,23422.2109375
2017-11-09 09:30:00,305440000,23516.7402344,23492.0898438,23310.0195312,23461.9394531
2017-11-08 09:30:00,264670000,23575.0,23542.5996094,23510.5605469,23563.359375
2017-11-07 09:30:00,285080000,23602.1191406,23574.0292969,23484.1894531,23557.2304688
2017-11-06 09:30:00,325190000,23574.859375,23533.9609375,23520.75,23548.4199219
2017-11-03 09:30:00,312250000,23557.0605469,23549.5898438,23481.5703125,23539.1894531
2017-11-02 09:30:00,348040000,23531.3808594,23463.2402344,23350.9804688,23516.2597656
2017-11-01 09:30:00,361260000,23517.7109375,23442.9003906,23388.9101562,23435.0097656
2017-10-31 09:30:00,388050000,23406.3496094,23369.2207031,23334.390625,23377.2402344
2017-10-30 09:30:00,436900000,23428.75,23405.75,23327.8691406,23348.7402344
